report_start,report_end,exchange,bps_bucket,obligation_usd,imc_liquidity_usd,market_liquidity_usd,kpi_ratio_imc_over_obligation,kpi_percent_of_obligation,kpi_outperform,capture_pct_imc_over_market,capture_percent,uptime_pct,avg_bid_ask_spread_usd,avg_bid_ask_spread_bps,market_share_pct,source_file
14/2/2025,14/3/2025,Binance,15,49400,46500,342000,0.941295547,94.12955466,FALSE,0.13596491228070176,13.596491228070176,86.99,0.001,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,25,123600,119200,592700,0.964401294,96.44012945,FALSE,0.2011135481693943,20.111354816939432,86.99,0.001,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,50,164800,160400,825600,0.973300971,97.33009709,FALSE,0.19428294573643412,19.428294573643413,86.99,0.001,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,100,247200,242900,964600,0.982605178,98.2605178,FALSE,0.25181422351233673,25.181422351233675,86.99,0.001,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Binance,200,412000,404900,1126600,0.98276699,98.27669903,FALSE,0.35939996449494055,35.93999644949405,86.99,0.001,3.3,6,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,15,33000,27700,98100,0.839393939,83.93939394,FALSE,0.2823649337410805,28.23649337410805,76.72,0.001245,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,25,82400,69600,164800,0.844660194,84.46601942,FALSE,0.4223300970873786,42.23300970873786,76.72,0.001245,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,50,123600,105000,225400,0.849514563,84.95145631,FALSE,0.4658385093167702,46.58385093167702,76.72,0.001245,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,100,164800,140600,294200,0.85315534,85.31553398,FALSE,0.477906186,47.79061863,76.72,0.001245,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,Bybit,200,329500,281300,460300,0.853717754,85.37177542,FALSE,0.611123181,61.11231805,76.72,0.001245,4.1,14.2,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,15,33000,30400,124300,0.921212121,92.12121212,FALSE,0.24456958970233306,24.456958970233305,86.71,0.001392,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,25,82400,78900,245800,0.957524272,95.75242718,FALSE,0.3209926769731489,32.09926769731489,86.71,0.001392,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,50,123600,119200,434800,0.964401294,96.44012945,FALSE,0.27414903403863844,27.414903403863843,86.71,0.001392,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,100,164800,160900,588600,0.976334951,97.63349515,FALSE,0.27336051647978254,27.336051647978255,86.71,0.001392,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/2/2025,14/3/2025,OKX,200,329600,321800,802100,0.976334951,97.63349515,FALSE,0.4011968582471014,40.11968582471014,86.71,0.001392,4.6,3.5,Frijt Trading - NEAR Report 2025-02-14 - 2025-03-14.pdf
14/3/2025,14/4/2025,Binance,15,41300,44100,315000,1.06779661,106.779661,TRUE,0.14,14.000000000000002,96.76,0.001,4,4.1,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Binance,25,103200,112400,516600,1.089147287,108.9147287,TRUE,0.2175764614789005,21.75764614789005,96.76,0.001,4,4.1,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Binance,50,137600,151300,721300,1.099563953,109.9563953,TRUE,0.20976015527519756,20.976015527519756,96.76,0.001,4,4.1,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Binance,100,206400,229000,906000,1.109496124,110.9496124,TRUE,0.25275938189845476,25.275938189845476,96.76,0.001,4,4.1,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Binance,200,344000,381600,1058600,1.109302326,110.9302326,TRUE,0.3604761005101077,36.04761005101077,96.76,0.001,4,4.1,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Bybit,15,27500,30400,103500,1.105454545,110.5454545,TRUE,0.293719807,29.37198068,99.82,0.001042,4.2,7.8,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Bybit,25,68800,76600,193700,1.113372093,111.3372093,TRUE,0.3954568921011874,39.54568921011874,99.82,0.001042,4.2,7.8,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Bybit,50,103200,115800,282500,1.122093023,112.2093023,TRUE,0.40991150442477875,40.991150442477874,99.82,0.001042,4.2,7.8,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Bybit,100,137600,155500,412000,1.130087209,113.0087209,TRUE,0.3774271844660194,37.74271844660194,99.82,0.001042,4.2,7.8,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,Bybit,200,275200,311100,635600,1.130450581,113.0450581,TRUE,0.4894587791063562,48.94587791063562,99.82,0.001042,4.2,7.8,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,OKX,15,27500,29100,150800,1.058181818,105.8181818,TRUE,0.1929708222811671,19.29708222811671,96.63,0.00116,4.6,2.5,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,OKX,25,68800,74400,264200,1.081395349,108.1395349,TRUE,0.28160484481453446,28.160484481453445,96.63,0.00116,4.6,2.5,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,OKX,50,103200,112400,431300,1.089147287,108.9147287,TRUE,0.26060746580106653,26.060746580106652,96.63,0.00116,4.6,2.5,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,OKX,100,137600,151600,611500,1.101744186,110.1744186,TRUE,0.24791496320523304,24.791496320523304,96.63,0.00116,4.6,2.5,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/3/2025,14/4/2025,OKX,200,275200,303300,885500,1.102107558,110.2107558,TRUE,0.34251835121400337,34.25183512140034,96.63,0.00116,4.6,2.5,Frijt Trading - NEAR Report 2025-03-14 - 2025-04-14.pdf
14/4/2025,14/5/2025,Binance,15,40800,44700,309200,1.095588235,109.5588235,TRUE,0.14456662354463132,14.456662354463132,99.79,0.001,4.1,4.4,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Binance,25,102000,114300,509500,1.120588235,112.0588235,TRUE,0.22433758586849853,22.43375858684985,99.79,0.001,4.1,4.4,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Binance,50,136000,153900,708900,1.131617647,113.1617647,TRUE,0.21709691070672874,21.709691070672875,99.79,0.001,4.1,4.4,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Binance,100,204100,232800,906700,1.140617344,114.0617344,TRUE,0.25675526635050183,25.675526635050183,99.79,0.001,4.1,4.4,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Binance,200,340100,388000,1061900,1.140840929,114.0840929,TRUE,0.3653828044071947,36.53828044071947,99.79,0.001,4.1,4.4,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Bybit,15,27200,32800,97000,1.205882353,120.5882353,TRUE,0.33814432989690724,33.81443298969072,99.88,0.001037,4.2,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Bybit,25,68000,78900,180000,1.160294118,116.0294118,TRUE,0.43833333333333335,43.833333333333336,99.88,0.001037,4.2,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Bybit,50,102100,118400,272100,1.159647405,115.9647405,TRUE,0.4351341418596104,43.51341418596104,99.88,0.001037,4.2,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Bybit,100,136100,158300,394800,1.163115356,116.3115356,TRUE,0.40096251266464034,40.09625126646404,99.88,0.001037,4.2,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,Bybit,200,272100,314500,611800,1.155825064,115.5825064,TRUE,0.5140568813337693,51.40568813337693,99.88,0.001037,4.2,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,OKX,15,27200,29600,147000,1.088235294,108.8235294,TRUE,0.20136054421768707,20.136054421768705,98.94,0.001219,4.9,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,OKX,25,68000,75200,251300,1.105882353,110.5882353,TRUE,0.2992439315559093,29.924393155590927,98.94,0.001219,4.9,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,OKX,50,102000,113600,418000,1.11372549,111.372549,TRUE,0.27177033492822966,27.177033492822964,98.94,0.001219,4.9,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,OKX,100,136100,153200,574400,1.12564291,112.564291,TRUE,0.2667130919220056,26.67130919220056,98.94,0.001219,4.9,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/4/2025,14/5/2025,OKX,200,272100,306400,812000,1.126056597,112.6056597,TRUE,0.37733990147783253,37.73399014778325,98.94,0.001219,4.9,5.6,Frijt Trading - NEAR Report 2025-04-14 - 2025-05-14.pdf
14/5/2025,1/6/2025,Binance,15,45600,49600,309600,1.087719298,108.7719298,TRUE,0.16020671834625322,16.020671834625322,99.87,0.001,3.6,3.6,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Binance,25,114100,127600,535100,1.118317266,111.8317266,TRUE,0.23846010091571668,23.846010091571667,99.87,0.001,3.6,3.6,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Binance,50,152100,171500,753100,1.127547666,112.7547666,TRUE,0.22772540167308458,22.77254016730846,99.87,0.001,3.6,3.6,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Binance,100,228200,260200,943000,1.14022787,114.022787,TRUE,0.27592788971367976,27.592788971367977,99.87,0.001,3.6,3.6,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Binance,200,380400,433600,1116400,1.139852787,113.9852787,TRUE,0.38839125761375853,38.839125761375854,99.87,0.001,3.6,3.6,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Bybit,15,30400,33100,95800,1.088815789,108.8815789,TRUE,0.3455114822546973,34.55114822546973,99.72,0.001026,3.7,4.9,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Bybit,25,76100,85000,198800,1.11695138,111.695138,TRUE,0.4275653923541248,42.756539235412475,99.72,0.001026,3.7,4.9,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Bybit,50,114100,128600,322300,1.127081507,112.7081507,TRUE,0.3990071362085014,39.90071362085014,99.72,0.001026,3.7,4.9,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Bybit,100,152200,172700,461500,1.134691196,113.4691196,TRUE,0.3742145178764897,37.42145178764897,99.72,0.001026,3.7,4.9,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,Bybit,200,304400,345900,690100,1.136333771,113.6333771,TRUE,0.5012317055499202,50.12317055499202,99.72,0.001026,3.7,4.9,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,OKX,15,30400,33200,156300,1.092105263,109.2105263,TRUE,0.2124120281509917,21.241202815099168,100,0.001271,4.6,5.2,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,OKX,25,76100,85100,293200,1.11826544,111.826544,TRUE,0.2902455661664393,29.02455661664393,100,0.001271,4.6,5.2,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,OKX,50,114100,128500,508100,1.126205083,112.6205083,TRUE,0.25290297185593386,25.290297185593385,100,0.001271,4.6,5.2,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,OKX,100,152200,173700,683200,1.141261498,114.1261498,TRUE,0.2542447306791569,25.42447306791569,100,0.001271,4.6,5.2,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
14/5/2025,1/6/2025,OKX,200,304400,347400,897800,1.141261498,114.1261498,TRUE,0.38694586767654265,38.694586767654265,100,0.001271,4.6,5.2,Frijt Trading - NEAR Report 2025-05-14 - 2025-06-01.pdf
1/7/2025,1/8/2025,Binance,15,42100,45900,306000,1.090261283,109.0261283,TRUE,0.15,15,99.89,0.001,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Binance,25,105300,118000,496600,1.120607787,112.0607787,TRUE,0.23761578735400726,23.761578735400725,99.89,0.001,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Binance,50,140400,158900,708800,1.131766382,113.1766382,TRUE,0.22418171557562078,22.41817155756208,99.89,0.001,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Binance,100,210700,240400,891700,1.140958709,114.0958709,TRUE,0.26959739822810364,26.959739822810363,99.89,0.001,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Binance,200,351100,400700,1052000,1.141270293,114.1270293,TRUE,0.380893536,38.08935361,99.89,0.001,3.9,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,15,28100,30700,89900,1.09252669,109.252669,TRUE,0.3414905450500556,34.14905450500556,99.84,0.001032,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,25,70300,78600,189200,1.118065434,111.8065434,TRUE,0.4154334038054968,41.54334038054968,99.84,0.001032,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,50,105400,119200,312600,1.130929791,113.0929791,TRUE,0.38131797824696095,38.13179782469609,99.84,0.001032,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,100,140500,159800,440500,1.137366548,113.7366548,TRUE,0.3627695800227015,36.27695800227015,99.84,0.001032,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Bybit,200,281000,319800,650400,1.138078292,113.8078292,TRUE,0.49169741697416974,49.169741697416974,99.84,0.001032,4.1,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,15,7000,7800,115700,1.114285714,111.4285714,TRUE,0.06741573,6.741573033707865,99.76,0.001081,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,25,21100,23600,146800,1.118483412,111.8483412,TRUE,0.16076294277929154,16.076294277929154,99.76,0.001081,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,50,31600,36000,172400,1.139240506,113.9240506,TRUE,0.2088167053364269,20.88167053364269,99.76,0.001081,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,100,42200,48700,194600,1.154028436,115.4028436,TRUE,0.25025693730729703,25.025693730729703,99.76,0.001081,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,Coinbase,200,105400,120600,266400,1.144212524,114.4212524,TRUE,0.4527027027027027,45.27027027027027,99.76,0.001081,4.2,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,OKX,15,28100,30800,150000,1.096085409,109.6085409,TRUE,0.20533333333333334,20.533333333333335,99.87,0.001228,4.8,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,OKX,25,70300,78800,282100,1.120910384,112.0910384,TRUE,0.2793335696561503,27.93335696561503,99.87,0.001228,4.8,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,OKX,50,105400,119000,464600,1.129032258,112.9032258,TRUE,0.2561343090830822,25.61343090830822,99.87,0.001228,4.8,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/7/2025,1/8/2025,OKX,100,140500,160500,616100,1.142348754,114.2348754,TRUE,0.2605096575231294,26.050965752312937,99.87,0.001228,4.8,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
