report_start,report_end,exchange,bps_bucket,obligation_usd,imc_liquidity_usd,market_liquidity_usd,kpi_ratio_imc_over_obligation,kpi_percent_of_obligation,kpi_outperform,capture_pct_imc_over_market,capture_percent,uptime_pct,avg_bid_ask_spread_usd,avg_bid_ask_spread_bps,market_share_pct,source_file
1/7/2025,1/8/2025,OKX,200,281000,320900,819500,1.141992883,114.1992883,TRUE,0.39158023184868823,39.158023184868824,99.87,0.001228,4.8,,Frijt Trading - NEAR Report 2025-07-01 - 2025-08-01.pdf
1/8/2025,1/9/2025,Binance,15,42400,50300,344500,1.186320755,118.6320755,TRUE,0.14600870827285922,14.600870827285922,99.95,0.001,3.9,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Binance,25,105900,121400,531800,1.146364495,114.6364495,TRUE,0.22828130876269273,22.828130876269274,99.95,0.001,3.9,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Binance,50,141200,162300,818000,1.149433428,114.9433428,TRUE,0.19841075794621027,19.841075794621027,99.95,0.001,3.9,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Binance,100,211800,243500,1010400,1.1496695,114.96695,TRUE,0.24099366587490104,24.099366587490103,99.95,0.001,3.9,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Binance,200,352900,403100,1170000,1.142249929,114.2249929,TRUE,0.34452991452991455,34.452991452991455,99.95,0.001,3.9,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Bybit,15,28200,31400,120100,1.113475177,111.3475177,TRUE,0.2614487926727727,26.144879267277272,99.89,0.001027,4,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Bybit,25,70500,78700,218000,1.116312057,111.6312057,TRUE,0.3610091743119266,36.100917431192656,99.89,0.001027,4,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Bybit,50,105800,119000,343800,1.124763705,112.4763705,TRUE,0.3461314717859221,34.61314717859221,99.89,0.001027,4,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Bybit,100,141000,159500,464900,1.131205674,113.1205674,TRUE,0.3430845343084534,34.30845343084534,99.89,0.001027,4,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Bybit,200,282000,319000,696000,1.131205674,113.1205674,TRUE,0.4583333333333333,45.83333333333333,99.89,0.001027,4,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Coinbase,15,7100,7800,150500,1.098591549,109.8591549,TRUE,0.051827242524916946,5.1827242524916945,99.17,0.001079,4.2,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Coinbase,25,21200,23400,241700,1.103773585,110.3773585,TRUE,0.096814233,9.681423251965246,99.17,0.001079,4.2,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Coinbase,50,31800,35600,354000,1.119496855,111.9496855,TRUE,0.10056497175141244,10.056497175141244,99.17,0.001079,4.2,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Coinbase,100,42300,48300,404400,1.141843972,114.1843972,TRUE,0.11943620178041543,11.943620178041543,99.17,0.001079,4.2,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,Coinbase,200,105900,119500,475600,1.128423041,112.8423041,TRUE,0.2512615643397813,25.12615643397813,99.17,0.001079,4.2,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,OKX,15,28200,31500,189300,1.117021277,111.7021277,TRUE,0.1664025356576862,16.64025356576862,99.91,0.001139,4.4,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,OKX,25,70600,78900,327800,1.117563739,111.7563739,TRUE,0.24069554606467358,24.069554606467356,99.91,0.001139,4.4,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,OKX,50,105900,119000,517299.99999999994,1.123701605,112.3701605,TRUE,0.2300405953991881,23.00405953991881,99.91,0.001139,4.4,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,OKX,100,141200,160300,649200,1.135269122,113.5269122,TRUE,0.2469192852741836,24.691928527418362,99.91,0.001139,4.4,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/8/2025,1/9/2025,OKX,200,282300,320000,846400,1.133545873,113.3545873,TRUE,0.3780718336483932,37.80718336483932,99.91,0.001139,4.4,,Frijt Trading - NEAR Report 2025-08-01 - 2025-09-01.pdf
1/9/2025,1/10/2025,Binance,15,44800,50200,345900,1.120535714,112.0535714,TRUE,0.1451286498988147,14.512864989881468,99.91,0.001,3.7,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Binance,25,112100,126600,550800,1.129348796,112.9348796,TRUE,0.2298474945533769,22.984749455337692,99.91,0.001,3.7,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Binance,50,149500,169600,834200,1.134448161,113.4448161,TRUE,0.2033085590985375,20.330855909853753,99.91,0.001,3.7,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Binance,100,224200,256800,1042400.0000000001,1.145405888,114.5405888,TRUE,0.24635456638526473,24.635456638526474,99.91,0.001,3.7,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Binance,200,373600,428000,1213500,1.145610278,114.5610278,TRUE,0.3526988051091883,35.269880510918824,99.91,0.001,3.7,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Bybit,15,29900,33100,117800,1.107023411,110.7023411,TRUE,0.28098471986417656,28.098471986417657,99.91,0.001042,3.9,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Bybit,25,74700,83500,212300,1.117804552,111.7804552,TRUE,0.39331135186057464,39.331135186057466,99.91,0.001042,3.9,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Bybit,50,112100,125900,325900,1.123104371,112.3104371,TRUE,0.38631482,38.631482049708495,99.91,0.001042,3.9,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Bybit,100,149500,168900,439600,1.129765886,112.9765886,TRUE,0.38421292083712466,38.421292083712466,99.91,0.001042,3.9,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Bybit,200,298900,337800,655500,1.130143861,113.0143861,TRUE,0.5153318077803204,51.53318077803204,99.91,0.001042,3.9,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Coinbase,15,7500,8300,160900,1.106666667,110.6666667,TRUE,0.051584835,5.158483530142946,99.54,0.001068,4,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Coinbase,25,22400,25000,286500,1.116071429,111.6071429,TRUE,0.087260035,8.726003490401396,99.54,0.001068,4,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Coinbase,50,33700,37900,452300,1.12462908,112.462908,TRUE,0.083793942,8.379394207384479,99.54,0.001068,4,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Coinbase,100,44900,51300,532200,1.142538976,114.2538976,TRUE,0.096392334,9.639233371,99.54,0.001068,4,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,Coinbase,200,112200,127100,607900,1.132798574,113.2798574,TRUE,0.20908044086198388,20.908044086198387,99.54,0.001068,4,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,OKX,15,29900,33000,202100,1.10367893,110.367893,TRUE,0.16328550222662047,16.32855022266205,99.96,0.001106,4.1,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,OKX,25,74700,83500,335300,1.117804552,111.7804552,TRUE,0.249030719,24.90307188,99.96,0.001106,4.1,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,OKX,50,112100,125800,499800,1.12221231,112.221231,TRUE,0.25170068027210885,25.170068027210885,99.96,0.001106,4.1,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,OKX,100,149500,169600,643100,1.134448161,113.4448161,TRUE,0.26372259368682943,26.372259368682943,99.96,0.001106,4.1,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/9/2025,1/10/2025,OKX,200,299000,339200,851200,1.134448161,113.4448161,TRUE,0.39849624060150374,39.849624060150376,99.96,0.001106,4.1,,Frijt Trading - NEAR Report 2025-09-01 - 2025-10-01 (1).pdf
1/11/2025,30/11/2025,Binance,15,35500,33400,249400,0.94084507,94.08450704,FALSE,0.1339214113873296,13.39214113873296,95.34,0.001,4.6,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Binance,25,88700,87100,444300,0.981961669,98.19616685,FALSE,0.196038713,19.60387126,95.34,0.001,4.6,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Binance,50,118200,116900,772800,0.989001692,98.9001692,FALSE,0.151268116,15.126811594202898,95.34,0.001,4.6,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Binance,100,177300,177200,1140900,0.999435984,99.94359842,FALSE,0.1553159786133754,15.53159786133754,95.34,0.001,4.6,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Binance,200,295600,295000,1261400,0.99797023,99.797023,FALSE,0.2338671317583637,23.38671317583637,95.34,0.001,4.6,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Bybit,15,23700,20600,78900,0.869198312,86.91983122,FALSE,0.26108998732572875,26.108998732572875,99.91,0.001068,4.9,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Bybit,25,59100,53200,163600,0.900169205,90.01692047,FALSE,0.3251833740831296,32.51833740831296,99.91,0.001068,4.9,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Bybit,50,88700,80600,310700,0.908680947,90.8680947,FALSE,0.2594142259414226,25.94142259414226,99.91,0.001068,4.9,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Bybit,100,118300,107600,475300,0.909551986,90.95519865,FALSE,0.2263833368398906,22.63833368398906,99.91,0.001068,4.9,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Bybit,200,236500,215900,750100,0.912896406,91.28964059,FALSE,0.28782828956139184,28.782828956139184,99.91,0.001068,4.9,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Coinbase,15,5900,5000,112000,0.847457627,84.74576271,FALSE,0.044642857142857144,4.464285714285714,97.12,0.001188,5.5,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Coinbase,25,17700,15300,206600,0.86440678,86.44067797,FALSE,0.074056147,7.405614714424008,97.12,0.001188,5.5,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Coinbase,50,26600,23300,397200,0.87593985,87.59398496,FALSE,0.058660624,5.866062437059416,97.12,0.001188,5.5,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Coinbase,100,35400,31700,661300,0.895480226,89.5480226,FALSE,0.047935883865114166,4.793588386511416,97.12,0.001188,5.5,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,Coinbase,200,88600,78500,710500,0.886004515,88.60045147,FALSE,0.11048557353976073,11.048557353976072,97.12,0.001188,5.5,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,OKX,15,23600,24400,135600,1.033898305,103.3898305,TRUE,0.17994100294985252,17.99410029498525,99.97,0.001143,5.3,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,OKX,25,59100,63000,278300,1.065989848,106.5989848,TRUE,0.22637441609773626,22.637441609773624,99.97,0.001143,5.3,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,OKX,50,88700,94900,523299.99999999994,1.069898534,106.9898534,TRUE,0.1813491305178674,18.134913051786743,99.97,0.001143,5.3,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,OKX,100,118200,128300.00000000001,790600,1.085448393,108.5448393,TRUE,0.16228181128257022,16.22818112825702,99.97,0.001143,5.3,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/11/2025,30/11/2025,OKX,200,236500,256399.99999999997,1119400,1.084143763,108.4143763,TRUE,0.22905127747007323,22.905127747007324,99.97,0.001143,5.3,,Frijt Trading - NEAR Report 2025-11-01 - 2025-11-30 (1).pdf
1/12/2025,31/12/2025,Binance,15,26500,28000,255900,1.056603774,105.6603774,TRUE,0.10941774130519734,10.941774130519734,99.64,0.001,6.2,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Binance,25,66200,72200,487100,1.090634441,109.0634441,TRUE,0.1482241839458017,14.82241839458017,99.64,0.001,6.2,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Binance,50,88200,98800,981000,1.120181406,112.0181406,TRUE,0.10071355759429154,10.071355759429155,99.64,0.001,6.2,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Binance,100,132300,150000,1617000,1.133786848,113.3786848,TRUE,0.092764378,9.276437847866418,99.64,0.001,6.2,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Binance,200,220500,250000,1815200,1.133786848,113.3786848,TRUE,0.1377258704275011,13.772587042750109,99.64,0.001,6.2,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Bybit,15,17600,18500,76500,1.051136364,105.1136364,TRUE,0.24183006535947713,24.18300653594771,99.86,0.001013,6.3,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Bybit,25,44100,47800,183900,1.083900227,108.3900227,TRUE,0.2599238716693855,25.992387166938553,99.86,0.001013,6.3,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Bybit,50,66200,73700,357200,1.113293051,111.3293051,TRUE,0.20632698768197089,20.632698768197088,99.86,0.001013,6.3,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Bybit,100,88200,98500,515900,1.116780045,111.6780045,TRUE,0.19092847451056405,19.092847451056404,99.86,0.001013,6.3,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Bybit,200,176500,197600,897100,1.119546742,111.9546742,TRUE,0.22026529929773717,22.026529929773716,99.86,0.001013,6.3,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Coinbase,15,4400,4700,124700,1.068181818,106.8181818,TRUE,0.037690457,3.769045709703288,98.95,0.001068,6.7,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Coinbase,25,13200,14100,256300,1.068181818,106.8181818,TRUE,0.055013656,5.501365587202497,98.95,0.001068,6.7,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Coinbase,50,19800,21900,538500,1.106060606,110.6060606,TRUE,0.040668523676880224,4.066852367688022,98.95,0.001068,6.7,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Coinbase,100,26500,30000,851900,1.132075472,113.2075472,TRUE,0.035215401,3.521540086864655,98.95,0.001068,6.7,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,Coinbase,200,66200,74200,944700,1.120845921,112.0845921,TRUE,0.078543453,7.854345294802583,98.95,0.001068,6.7,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,OKX,15,17600,19200,141100,1.090909091,109.0909091,TRUE,0.13607370659107015,13.607370659107016,99.92,0.001002,6.2,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,OKX,25,44100,48700,293100,1.10430839,110.430839,TRUE,0.16615489593995222,16.61548959399522,99.92,0.001002,6.2,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,OKX,50,66200,74300,518100,1.122356495,112.2356495,TRUE,0.14340860837676125,14.340860837676125,99.92,0.001002,6.2,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,OKX,100,88200,101000,731000,1.145124717,114.5124717,TRUE,0.1381668946648427,13.81668946648427,99.92,0.001002,6.2,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf
1/12/2025,31/12/2025,OKX,200,176500,201400,1125000,1.141076487,114.1076487,TRUE,0.17902222222222222,17.90222222222222,99.92,0.001002,6.2,,Frijt Trading - NEAR Report 2025-12-01 - 2025-12-31.pdf